transport_type,origin,destination,departure_time,arrival_time,duration_minutes,fare_yen,operator,route_details,frequency,operating_hours,distance_meters,notes
limousine_bus,高松空港,高松駅/フェリー乗り場,08:25,09:15,50,1000,ことでんバス,県民ホール・県立ミュージアム経由,飛行機到着約15分後,7:35-21:25,18000,直接到达渡轮码头
limousine_bus,高松空港,高松駅/フェリー乗り場,09:10,10:00,50,1000,ことでんバス,県民ホール・県立ミュージアム経由,飛行機到着約15分後,7:35-21:25,18000,直接到达渡轮码头
limousine_bus,高松空港,高松駅/フェリー乗り場,15:45,16:35,50,1000,ことでんバス,高松駅/フェリー乗り場行,飛行機到着約15分後,7:35-21:25,18000,直接到达渡轮码头
limousine_bus,高松空港,高松駅/フェリー乗り場,16:40,17:30,50,1000,ことでんバス,高松駅/フェリー乗り場行,飛行機到着約15分後,7:35-21:25,18000,直接到达渡轮码头
limousine_bus,高松空港,高松駅/フェリー乗り場,18:55,19:45,50,1000,ことでんバス,高松駅/フェリー乗り場行,飛行機到着約15分後,7:35-21:25,18000,直接到达渡轮码头
walking,高松駅,高松港旅客ターミナル,-,-,8,0,徒歩,屋根付き連絡通路,24時間,24時間,500,JR高松駅から港まで全程有屋顶通道
walking,高松駅,高松港1・2番のりば,-,-,10,0,徒歩,屋根付き連絡通路+フェリー乗り場,24時間,24時間,650,到达渡轮乘船处
walking,高松駅,高松港3・4番のりば,-,-,12,0,徒歩,屋根付き連絡通路+客船のりば,24時間,24時間,700,到达高速船乘船处
walking,高松駅,高松築港駅,-,-,3,0,徒歩,JR高松駅から琴電駅,24時間,24時間,200,JR站到琴电站
walking,高松築港駅,高松港,-,-,2,0,徒歩,琴電駅から港,24時間,24時間,150,琴电站到港口
taxi,高松空港,高松港,-,-,35,5390,高松タクシー協会,定額運賃エリア1,24時間,24時間,18000,直接路线
taxi,高松港,高松空港,-,-,35,4890,高松タクシー協会,定額運賃エリア1,24時間,24時間,18000,返程路线
kotoden_train,高松築港駅,瓦町駅,06:00,06:08,8,170,琴電,琴平線・長尾線,毎時4-6本,5:30-23:30,2500,琴电主要换乘站
kotoden_train,高松築港駅,琴電琴平駅,06:00,07:01,61,620,琴電,琴平線直通,毎時2-3本,5:30-23:30,32600,到琴平方向
alternative_route,高松空港,高松港,via高松駅,via高松駅,53,1000,バス+徒歩,空港バス→高松駅→徒歩,飛行機到着約15分後,7:35-21:25,18500,最经济路线
alternative_route,高松空港,高松港,via高松築港駅,via高松築港駅,55,1170,バス+徒歩,空港バス→高松駅→琴電→徒歩,飛行機到着約15分後,5:30-23:30,18350,使用琴电的路线
ferry_terminal_info,高松港,1・2番のりば,-,-,-,-,フェリー乗り場,小豆島・直島行きフェリー,運航会社により異なる,運航会社により異なる,-,车辆可搭载的大型渡轮
ferry_terminal_info,高松港,3・4番のりば,-,-,-,-,客船のりば,小豆島・直島・女木島・男木島行き高速船,運航会社により異なる,運航会社により異なる,-,高速船和客船专用
port_facilities,高松港旅客ターミナル,待合室・売店,-,-,-,-,港湾施設,お手洗い・自動販売機・コインロッカー,24時間,24時間,-,港口主要设施
port_facilities,高松港,乗船券売場,-,-,-,-,港湾施設,各運航会社別窓口,運航会社により異なる,運航会社により異なる,-,船票销售处
access_note,高松空港,高松港,-,-,-,-,注意事項,電車直接アクセスなし,バス利用必須,バス利用必須,-,机场无直接电车连接
access_note,高松駅,高松港,-,-,-,-,注意事項,屋根付き連絡通路完備,雨天でも濡れずに移動可能,24時間,500,全程有屋顶保护
access_note,高松築港駅,高松港,-,-,-,-,注意事項,琴電の起点駅,高松城跡沿いの路線,5:30-23:30,150,琴电起点站
timetable_note,機場巴士,時刻表変更,-,-,-,-,運行情報,毎月フライトスケジュールに応じて変更,要事前確認,要事前確認,-,时刻表每月根据航班调整
